City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
110,Caravelas,BR,-17.7125,-39.2481,74.84,86,3,11.48,clear sky
111,Tabou,CI,4.423,-7.3528,76.14,87,94,4.12,light rain
112,Bilibino,RU,68.0546,166.4372,27.05,96,100,2.82,light snow
113,Chokurdakh,RU,70.6333,147.9167,26.73,95,100,9.37,overcast clouds
114,Palmer,US,42.1584,-72.3287,62.46,77,20,0,few clouds
115,Santa Luzia,BR,-19.7697,-43.8514,70.7,82,35,3.78,scattered clouds
116,Tulsa,US,36.1001,-95.9003,67.87,86,1,0,clear sky
117,Lompoc,US,34.6391,-120.4579,66.22,100,90,0,fog
118,Tromso,NO,69.6496,18.957,54.25,87,88,1.99,overcast clouds
119,Rasulnagar,PK,32.3285,73.7814,82.63,64,0,7.07,clear sky
120,Altamira,BR,-3.2033,-52.2064,71.42,98,54,1.59,light rain
121,East London,ZA,-33.0153,27.9116,53.29,60,17,16.78,few clouds
122,Sola,VU,-13.8833,167.55,79.74,78,97,12.12,overcast clouds
123,Husavik,IS,66.0449,-17.3389,41.97,98,100,24.87,overcast clouds
124,Saint George,US,37.1041,-113.5841,75.94,21,1,4.61,clear sky
125,Pimentel,PE,-6.8367,-79.9342,62.58,85,5,9.44,clear sky
126,Boende,CD,-0.2167,20.8667,69.78,94,97,1.36,overcast clouds
127,Hayden,US,47.766,-116.7866,55.4,78,1,6.91,clear sky
128,Morehead,US,37.2711,-87.1764,69.55,97,40,5.75,scattered clouds
129,Kathmandu,NP,27.7167,85.3167,73.62,78,75,2.3,broken clouds
130,Ugoofaaru,MV,5.6667,73,82.29,78,96,15.9,overcast clouds
131,Moose Factory,CA,51.2585,-80.6094,39.18,93,1,4.61,mist
132,Vilhena,BR,-12.7406,-60.1458,68.79,92,60,4.97,broken clouds
133,Hokitika,NZ,-42.7167,170.9667,54.37,67,100,7.25,light rain
134,Dingle,PH,10.9995,122.6711,86.59,71,94,5.35,overcast clouds
135,Nador,MA,35.174,-2.9287,64.65,94,21,9.22,few clouds
136,Novo Oriente,BR,-5.5344,-40.7742,76.41,57,5,4.85,clear sky
137,Mezhdurechensk,RU,53.6942,88.0603,35.28,94,100,4.07,light rain
138,Biltine,TD,14.5333,20.9167,80.65,26,18,6.96,few clouds
139,Crotone,IT,39.0851,17.1178,69.01,67,96,2.77,overcast clouds
140,Kaniama,CD,-7.5667,24.1833,68.18,92,100,1.97,overcast clouds
141,Ayagoz,KZ,47.9714,80.4392,42.62,52,99,15.23,overcast clouds
142,Thompson,CA,55.7435,-97.8558,50.94,73,44,3.24,scattered clouds
143,Lagoa,PT,39.05,-27.9833,69.19,83,98,9.24,overcast clouds
144,Aswan,EG,24.0934,32.907,73.11,48,0,9.89,clear sky
145,Kiunga,PG,-6.1219,141.2906,73.11,99,100,2.62,light rain
146,Panji,ID,-7.7253,114.0995,91.15,43,45,6.62,scattered clouds
147,Saint-Philippe,RE,-21.3585,55.7679,75.22,72,42,14.09,scattered clouds
148,Rio Grande,BR,-32.035,-52.0986,57.94,91,74,6.22,broken clouds
149,General Roca,AR,-39.0333,-67.5833,49.75,38,1,20.47,clear sky
150,Arraial Do Cabo,BR,-22.9661,-42.0278,70.97,91,100,7.18,overcast clouds
151,Erenhot,CN,43.6475,111.9767,50.41,33,93,15.88,overcast clouds
152,Sabha,LY,27.0377,14.4283,73.15,43,63,12.66,broken clouds
153,Gejiu,CN,23.306,103.1635,63.84,80,87,5.41,overcast clouds
154,Khatanga,RU,71.9667,102.5,22.15,89,78,3.83,broken clouds
155,Jaisalmer,IN,26.9147,70.9181,85.89,60,9,15.1,clear sky
156,Yazd,IR,31.8972,54.3675,68.11,34,0,4.61,clear sky
157,Cururupu,BR,-1.8283,-44.8683,75.42,90,11,3.8,few clouds
158,Lagos,NG,6.5833,3.75,75.36,94,95,2.84,light rain
159,Polazna,RU,58.2946,56.4055,33.19,83,66,4.29,broken clouds
160,Songjianghe,CN,42.1859,127.479,59.94,89,100,11.45,overcast clouds
161,Puerto Ayora,EC,-0.7393,-90.3518,69.42,90,70,8.75,broken clouds
162,Kavieng,PG,-2.5744,150.7967,85.64,65,50,7.34,scattered clouds
163,Beatrice,US,40.2681,-96.747,64.04,88,90,6.91,overcast clouds
164,Komsomolskiy,UZ,40.4272,71.7189,54.32,43,63,4.61,broken clouds
165,Erzin,TR,36.9559,36.2,72.32,74,3,1.45,clear sky
166,Cayenne,GF,4.9333,-52.3333,83.08,80,0,0,clear sky
167,Altay,CN,47.8667,88.1167,35.83,54,84,4.43,broken clouds
168,Lethem,GY,3.3803,-59.7968,78.51,71,25,5.44,scattered clouds
169,Iskateley,RU,67.6803,53.1512,36.21,80,100,10.13,overcast clouds
170,Sobolevo,RU,54.4299,31.8996,40.48,83,100,6.26,light rain
171,Severo-Kurilsk,RU,50.6789,156.125,46.9,97,100,18.77,moderate rain
172,Torbay,CA,47.6666,-52.7314,54.75,92,100,10,overcast clouds
173,Korla,CN,41.7597,86.1469,53.71,35,100,12.59,overcast clouds
174,Najran,SA,17.4924,44.1277,77.18,25,99,2.59,overcast clouds
175,Basco,PH,20.4487,121.9702,83.82,69,29,18.05,scattered clouds
176,Palu,ID,-0.8917,119.8707,85.1,80,79,3.78,heavy intensity rain
