City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
143,Severo-Kurilsk,RU,2021-09-30 21:54:13,50.6789,156.125,47.82,96,100,19.13
144,Chodavaram,IN,2021-09-30 21:54:14,17.8333,82.95,80.44,92,33,2.24
145,Hualmay,PE,2021-09-30 21:54:14,-11.0964,-77.6139,67.59,76,30,11.1
146,Safaga,EG,2021-09-30 21:54:14,26.7292,33.9365,82.35,38,0,17.47
147,Bengkulu,ID,2021-09-30 21:54:15,-3.8004,102.2655,74.32,88,100,3.36
148,Mehamn,NO,2021-09-30 21:54:15,71.0357,27.8492,42.71,83,7,8.5
149,Nikolskoye,RU,2021-09-30 21:54:15,59.7035,30.7861,44.49,94,17,4.65
150,Nantucket,US,2021-09-30 21:54:16,41.2835,-70.0995,59.97,72,75,11.83
151,Mount Gambier,AU,2021-09-30 21:54:16,-37.8333,140.7667,53.51,100,90,17.27
152,Amuntai,ID,2021-09-30 21:54:16,-2.4177,115.2494,74.5,97,99,0.54
153,Sitka,US,2021-09-30 21:54:17,57.0531,-135.33,51.69,82,90,13.8
154,Dalian,CN,2021-09-30 21:54:17,38.9122,121.6022,60.73,100,0,2.24
155,Ankang,CN,2021-09-30 21:54:17,32.68,109.0172,66.2,90,0,1.41
156,Ribas Do Rio Pardo,BR,2021-09-30 21:54:18,-20.4431,-53.7592,90.1,30,66,5.26
157,Kaspiyskiy,RU,2021-09-30 21:54:18,45.3929,47.3707,49.44,51,9,11.36
158,Baneh,IR,2021-09-30 21:54:18,35.9975,45.8853,56.91,39,0,3.98
159,Victoria,HK,2021-09-30 21:50:05,22.2855,114.1577,85.96,85,14,1.01
160,Porto Novo,BJ,2021-09-30 21:54:18,6.4965,2.6036,80.42,86,97,4.03
161,Mnogovershinnyy,RU,2021-09-30 21:54:19,53.9353,139.9242,40.86,91,95,3.87
162,Husavik,IS,2021-09-30 21:54:19,66.0449,-17.3389,42.71,80,100,14.65
163,Lisala,CD,2021-09-30 21:54:19,2.15,21.5167,69.13,99,99,1.25
164,Jumla,NP,2021-09-30 21:54:20,29.2747,82.1838,58.23,91,80,0.31
165,Pierre,US,2021-09-30 21:54:02,44.3683,-100.351,70.72,43,100,6.38
166,Mount Isa,AU,2021-09-30 21:54:20,-20.7333,139.5,74.97,23,19,10.36
167,Hasaki,JP,2021-09-30 21:54:20,35.7333,140.8333,68.4,92,100,24.36
168,Saint-Augustin,CA,2021-09-30 21:54:21,51.226,-58.6502,45.28,93,100,28.34
169,Komsomolskiy,UZ,2021-09-30 21:54:21,40.4272,71.7189,63.32,51,92,0.0
170,Ust-Nera,RU,2021-09-30 21:54:21,64.5667,143.2,23.94,75,100,5.35
171,Vila,PT,2021-09-30 21:54:22,42.0304,-8.1588,54.34,83,100,0.87
172,Adrar,MR,2021-09-30 21:54:22,20.5022,-10.0711,91.76,11,2,5.73
173,Oktyabrskiy,RU,2021-09-30 21:54:22,54.4815,53.471,42.33,86,100,4.23
174,Tasiilaq,GL,2021-09-30 21:54:22,65.6145,-37.6368,29.43,86,3,6.35
175,Sumenep,ID,2021-09-30 21:54:23,-7.0167,113.8667,78.96,82,25,5.79
176,Cockburn Town,TC,2021-09-30 21:54:23,21.4612,-71.1419,83.12,70,1,12.57
177,Blackfoot,US,2021-09-30 21:54:23,43.1905,-112.345,67.35,13,0,4.27
178,Norman Wells,CA,2021-09-30 21:54:24,65.282,-126.8329,39.24,75,75,12.66
179,Nemuro,JP,2021-09-30 21:54:24,43.3236,145.575,61.18,94,86,6.87
180,Maragogi,BR,2021-09-30 21:54:24,-9.0122,-35.2225,75.31,87,30,8.34
181,Manta,EC,2021-09-30 21:54:25,-0.95,-80.7333,82.18,69,0,12.66
182,Fort Nelson,CA,2021-09-30 21:54:25,58.8053,-122.7002,42.39,87,90,5.75
183,Shingu,JP,2021-09-30 21:54:25,33.7333,135.9833,71.35,88,100,9.78
184,Krasnoselkup,RU,2021-09-30 21:54:26,65.7,82.4667,29.62,96,100,14.56
185,Saint-Louis,SN,2021-09-30 21:54:26,16.3333,-15.0,87.44,55,50,12.53
186,Vega De Alatorre,MX,2021-09-30 21:54:26,20.0333,-96.6333,84.61,78,100,9.37
187,Ilulissat,GL,2021-09-30 21:54:27,69.2167,-51.1,21.18,75,100,4.47
188,Worcester,US,2021-09-30 21:50:10,42.3334,-71.8328,57.79,74,90,1.99
189,Arraial Do Cabo,BR,2021-09-30 21:53:46,-22.9661,-42.0278,71.56,88,75,5.75
190,Sao Filipe,CV,2021-09-30 21:54:27,14.8961,-24.4956,79.5,78,86,4.65
191,Copiapo,CL,2021-09-30 21:54:27,-27.3667,-70.3333,60.49,25,2,5.7
192,Sompeta,IN,2021-09-30 21:54:28,18.9333,84.6,78.53,84,45,3.65
193,Dakar,SN,2021-09-30 21:54:28,14.6937,-17.4441,84.33,79,40,2.3
194,Sioux Lookout,CA,2021-09-30 21:54:28,50.1001,-91.917,77.07,57,75,4.61
195,Lexington,US,2021-09-30 21:54:29,37.9887,-84.4777,78.93,40,98,1.01
196,Odweyne,SO,2021-09-30 21:54:29,9.4092,45.064,76.69,57,93,10.78
197,Yulara,AU,2021-09-30 21:54:29,-25.2406,130.9889,53.44,40,0,3.44
198,Puerto Ayora,EC,2021-09-30 21:54:30,-0.7393,-90.3518,76.96,87,69,9.19
199,Bajil,YE,2021-09-30 21:54:30,15.0584,43.2851,89.26,57,96,4.41
200,Ongandjera,NA,2021-09-30 21:54:30,-17.8833,15.0667,70.74,19,1,17.65
201,Mingaora,PK,2021-09-30 21:54:31,34.7758,72.3625,70.2,77,1,4.92
202,The Pas,CA,2021-09-30 21:54:31,53.8251,-101.2541,68.02,34,1,4.61
203,Mahon,ES,2021-09-30 21:54:31,39.8885,4.2658,64.96,88,40,5.75
204,Murgab,TM,2021-09-30 21:54:32,37.4966,61.9714,60.67,44,0,4.61
205,Klaksvik,FO,2021-09-30 21:54:32,62.2266,-6.589,50.92,97,98,17.94
206,Fez,MA,2021-09-30 21:52:37,34.0372,-4.9998,75.45,40,0,8.05
207,Egvekinot,RU,2021-09-30 21:54:32,66.3167,-179.1667,21.49,78,78,11.74
208,Chapais,CA,2021-09-30 21:54:33,49.7834,-74.8492,55.18,61,100,5.59
209,Nizhnevartovsk,RU,2021-09-30 21:54:33,60.9344,76.5531,33.82,100,90,4.47
210,Hithadhoo,MV,2021-09-30 21:54:33,-0.6,73.0833,81.23,74,72,2.06
211,Benghazi,LY,2021-09-30 21:54:34,32.1167,20.0667,75.02,67,0,17.87
212,Longyearbyen,SJ,2021-09-30 21:54:34,78.2186,15.6401,31.95,95,100,6.24
213,Alice Springs,AU,2021-09-30 21:54:34,-23.7,133.8833,58.55,31,0,3.44
214,Harper,LR,2021-09-30 21:54:35,4.375,-7.7169,77.56,85,59,5.55
215,Chokurdakh,RU,2021-09-30 21:54:35,70.6333,147.9167,14.67,92,59,9.17
216,Coquimbo,CL,2021-09-30 21:53:16,-29.9533,-71.3436,62.33,63,0,14.97
217,Luderitz,NA,2021-09-30 21:54:35,-26.6481,15.1594,55.13,97,24,8.28
218,Awbari,LY,2021-09-30 21:54:35,26.5921,12.7805,76.73,32,1,9.55
219,Samarai,PG,2021-09-30 21:54:36,-10.6167,150.6667,80.26,85,99,5.23
220,Saldanha,ZA,2021-09-30 21:54:36,-33.0117,17.9442,57.25,87,0,8.05
221,Geraldton,AU,2021-09-30 21:54:37,-28.7667,114.6,64.81,94,75,11.5
222,Rawson,AR,2021-09-30 21:50:53,-43.3002,-65.1023,61.81,21,90,26.08
223,Lihula,EE,2021-09-30 21:54:37,58.6814,23.8453,48.83,83,100,10.33
224,Lima,PE,2021-09-30 21:50:08,-12.0432,-77.0282,64.13,77,75,14.97
225,Los Llanos De Aridane,ES,2021-09-30 21:54:37,28.6585,-17.9182,71.35,77,90,17.27
226,Chuy,UY,2021-09-30 21:54:38,-33.6971,-53.4616,58.64,94,100,18.92
227,Alofi,NU,2021-09-30 21:54:38,-19.0595,-169.9187,80.49,69,75,13.8
228,Bhag,PK,2021-09-30 21:54:38,29.0415,67.8239,89.04,54,67,11.23
229,East London,ZA,2021-09-30 21:54:39,-33.0153,27.9116,63.36,91,45,4.63
230,Honningsvag,NO,2021-09-30 21:54:39,70.9821,25.9704,46.49,77,11,15.99
231,Katsuura,JP,2021-09-30 21:54:39,35.1333,140.3,70.11,96,100,28.3
232,Emerald,AU,2021-09-30 21:54:40,-23.5333,148.1667,68.99,66,90,4.61
233,Mutoko,ZW,2021-09-30 21:54:40,-17.397,32.2268,56.95,88,0,3.33
234,Makubetsu,JP,2021-09-30 21:54:40,45.3714,141.8211,62.38,86,56,3.22
235,Gizo,SB,2021-09-30 21:54:41,-8.103,156.8419,82.65,76,89,8.72
236,High Level,CA,2021-09-30 21:54:41,58.5169,-117.136,60.91,59,20,8.05
237,Wahiawa,US,2021-09-30 21:54:41,21.5028,-158.0236,80.47,70,1,14.97
238,Agadez,NE,2021-09-30 21:54:42,19.75,10.25,82.42,13,21,10.67
239,Dikson,RU,2021-09-30 21:54:42,73.5069,80.5464,33.48,85,100,22.64
240,Mao,ES,2021-09-30 21:54:42,39.8885,4.2658,64.96,88,40,5.75
241,Rocha,UY,2021-09-30 21:54:43,-34.4833,-54.3333,57.96,95,100,9.01
242,Asosa,ET,2021-09-30 21:54:43,10.0667,34.5333,59.18,90,93,3.0
243,Praia Da Vitoria,PT,2021-09-30 21:54:43,38.7333,-27.0667,71.85,94,20,4.16
244,Hobart,AU,2021-09-30 21:50:48,-42.8794,147.3294,56.12,98,90,1.99
245,Toppenish,US,2021-09-30 21:54:44,46.3774,-120.3087,79.7,49,16,18.3
246,Pareora,NZ,2021-09-30 21:54:44,-44.4871,171.2132,52.72,63,0,6.42
247,Batesville,US,2021-09-30 21:54:44,35.7698,-91.641,77.83,73,90,10.0
248,Troitsko-Pechorsk,RU,2021-09-30 21:54:45,62.7084,56.1964,33.44,87,100,5.19
249,Izhma,RU,2021-09-30 21:54:45,65.0083,53.9113,36.72,76,100,2.93
250,Goba,ET,2021-09-30 21:54:45,7.0167,39.9833,51.67,96,100,2.89
251,Bonfim,BR,2021-09-30 21:54:46,3.0833,-59.95,93.15,58,100,2.86
252,Cherskiy,RU,2021-09-30 21:54:46,68.75,161.3,13.75,97,97,5.39
253,Iqaluit,CA,2021-09-30 21:54:46,63.7506,-68.5145,28.13,100,75,4.0
254,Nikko,JP,2021-09-30 21:54:46,36.75,139.6167,63.95,97,100,3.58
255,Rio Verde De Mato Grosso,BR,2021-09-30 21:54:47,-18.9181,-54.8442,90.21,36,70,1.52
256,Marsh Harbour,BS,2021-09-30 21:54:47,26.5412,-77.0636,81.14,73,12,14.97
257,Hofn,IS,2021-09-30 21:54:47,64.2539,-15.2082,45.23,74,100,22.93
258,Qasigiannguit,GL,2021-09-30 21:54:48,68.8193,-51.1922,21.6,80,100,4.38
259,Conde,BR,2021-09-30 21:54:48,-7.2597,-34.9075,78.26,83,20,10.36
260,Mayor Pablo Lagerenza,PY,2021-09-30 21:54:48,-19.9309,-60.7718,103.68,18,1,11.9
261,Aklavik,CA,2021-09-30 21:54:49,68.2191,-135.0107,30.92,88,85,3.76
262,Alyangula,AU,2021-09-30 21:54:49,-13.8483,136.4192,73.27,94,40,0.0
263,Wilmington Island,US,2021-09-30 21:54:49,32.0036,-80.9737,86.09,61,1,3.44
264,Yumen,CN,2021-09-30 21:54:50,40.2833,97.2,55.02,31,24,7.49
265,Boende,CD,2021-09-30 21:54:50,-0.2167,20.8667,68.0,99,96,1.12
266,Homer,US,2021-09-30 21:50:55,59.6425,-151.5483,46.29,51,90,11.5
267,Tikrit,IQ,2021-09-30 21:54:51,34.6071,43.6782,80.17,30,0,9.19
268,Zhelyabovka,UA,2021-09-30 21:54:51,45.3988,34.7578,53.78,52,5,15.37
269,Tczew,PL,2021-09-30 21:54:52,54.0924,18.7779,49.82,70,3,6.98
270,Souillac,MU,2021-09-30 21:54:52,-20.5167,57.5167,72.36,78,20,13.8
271,Kutum,SD,2021-09-30 21:54:52,14.2,24.6667,77.92,22,4,11.83
272,Constitucion,CL,2021-09-30 21:54:53,-35.3333,-72.4167,53.85,63,9,12.64
273,Wenling,CN,2021-09-30 21:54:53,28.3669,121.36,69.91,87,1,2.39
274,Kamenskiy,RU,2021-09-30 21:54:53,50.8855,45.488,47.14,51,100,3.38
275,Dhekiajuli,IN,2021-09-30 21:54:54,26.7,92.5,75.52,91,9,2.84
276,San Cristobal,VE,2021-09-30 21:54:54,7.7669,-72.225,75.51,70,60,3.65
277,Okhotsk,RU,2021-09-30 21:54:54,59.3833,143.3,34.48,96,100,17.69
278,Chuka,KE,2021-09-30 21:54:54,-0.3332,37.6459,63.73,85,100,3.38
279,Limbang,MY,2021-09-30 21:54:55,4.75,115.0,79.11,98,99,2.15
280,Danville,US,2021-09-30 21:51:17,36.586,-79.395,78.46,59,1,3.44
281,Vanavara,RU,2021-09-30 21:54:55,60.34,102.2797,27.48,93,46,3.27
282,Baiyin,CN,2021-09-30 21:54:56,36.5583,104.2081,52.68,34,43,4.03
283,Pevek,RU,2021-09-30 21:54:56,69.7008,170.3133,27.39,90,100,11.36
284,Sladkovo,RU,2021-09-30 21:54:56,55.5284,70.3385,32.61,77,81,8.28
285,Roald,NO,2021-09-30 21:54:56,62.5833,6.1333,57.34,58,0,12.66
286,Guozhen,CN,2021-09-30 21:54:57,34.3659,107.359,69.6,79,98,2.55
287,San Patricio,US,2021-09-30 21:54:57,28.017,-97.5169,85.86,58,96,13.31
288,Usinsk,RU,2021-09-30 21:54:57,65.9939,57.5281,32.88,80,97,6.2
289,Novoanninskiy,RU,2021-09-30 21:54:58,50.5287,42.6747,42.93,66,15,5.32
290,Kumertau,RU,2021-09-30 21:54:58,52.7667,55.7833,34.83,59,7,1.86
291,Mikhaylovka,RU,2021-09-30 21:54:58,50.06,43.2379,44.2,57,51,2.01
292,Xuddur,SO,2021-09-30 21:54:59,4.1213,43.8894,73.31,75,84,12.84
293,Lorengau,PG,2021-09-30 21:54:59,-2.0226,147.2712,78.01,89,100,12.5
294,Wajid,SO,2021-09-30 21:54:59,3.8093,43.2471,75.67,71,99,17.16
